CMU, admission@andrew.cmu.edu
UCLA, uars@admin.ucla.edu
Rice, admission@rice.edu
UC San Diego, admissionsreply@ucsd.edu
UT Austin, admissions@austin.utexas.edu
Georgia Tech, admission@gatech.edu
UIUC, admissions@illinois.edu
Indiana, iub.admissions@iu.edu
Boston College, admission@bc.edu
Cornell, admissions@cornell.edu
Brown, admission@brown.edu
Dartmouth, admissions.reply@dartmouth.edu
UMich, gorejo@umich.edu
Maryland, ApplyMaryland@umd.edu
Purdue, admissions@purdue.edu
Wisconsin, onwisconsin@admissions.wisc.edu
Washington, askuwadm@uw.edu
Northeastern University, admissions@northeastern.edu
Pittsburgh, pitt.admissions@pitt.edu
Wellesley, admission@wellesley.edu
Claremont McKenna, admission@claremontmckenna.edu
Davidson, admissions@davidson.edu
UMass, mail@admissions.umass.edu
UC Santa Barbara, admissions@ucsb.edu
Ohio State, askadmissions@osu.edu
ASU, ASUGreggDavid@asu.edu
Syracuse, admissu@syr.edu
UCF, admission@ucf.edu
TTIC, admissions@ttic.edu
Oregon, admissions@uoregon.edu
Clemson, apply@admission.clemson.edu
Colorado School of Mines, admissions@mines.edu
San Diego State, prospective@sdsu.edu
